#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0      4.6026134766818                2.069                    0
    5.81150470603229      4.6026134766818     4.51718208074508                    0
    113.031684430868                    0     2.15593878469559                    0
                   1                    0     2.15593878469559                    0
                 0.5                    0     2.15424887584035                    0
                 0.5                    0     2.15251819620606                    0
                 0.5                    0     2.15014727497348                    0
                 0.5                    0     2.14708197394819                    0
                 0.5                    0     2.14325486406138                    0
                 0.5                    0     2.13858545302037                    0
                 0.5                    0     2.13298052026767                    0
                 0.5                    0     2.12633458863999                    0
                 0.5                    0      2.1185305635132                    0
                 0.5                    0     2.10944057009887                    0
                 0.5                    0     2.09892701779541                    0
                 0.5                    0     2.08684391700922                    0
                 0.5                    0     2.07303846862214                    0
                 0.5                    0     2.05735293932976                    0
                 0.5                    0     2.03962682752104                    0
                 0.5                    0     2.01969931440332                    0
                 0.5                    0     1.99741198396716                    0
                 0.5                    0     1.97261178348107                    0
                 0.5                    0     1.94515418392823                    0
                 0.5                    0     1.91490648762761                    0
                 0.5                    0     1.88175121874894                    0
                 0.5                    0     1.84558952208748                    0
                 0.5                    0     1.80634448686339                    0
                 0.5                    0     1.76396430597847                    0
                 0.5                    0     1.71842517757105                    0
                 0.5                    0     1.66973385524384                    0
                 0.5                    0     1.61792975627575                    0
                 0.5                    0     1.56308654360942                    0
                 0.5                    0     1.50531310742412                    0
                 0.5                    0     1.44475388549383                    0
                 0.5                    0     1.38158847797071                    0
                 0.5                    0     1.31603053126303                    0
                 0.5                    0     1.24832588671702                    0
                 0.5                    0     1.17875001222692                    0
                 0.5                    0     1.10760475804985                    0
                 0.5                    0     1.03521450145588                    0
                 0.5                    0    0.961921768073387                    0
                 0.5                    0    0.888082440914936                    0
                 0.5                    0    0.814060691576574                    0
                 0.5                    0    0.740223793028668                    0
                 0.5                    0    0.666937001297132                    0
                 0.5                    0    0.594558725957001                    0
                 0.5                    0    0.523436248165174                    0
                 0.5                    0    0.453902290008188                    0
                 0.5                    0    0.386272787424442                    0
                 0.5                    0    0.320846263366441                    0
                 0.5                    0    0.257905224201549                    0
                 0.5                    0    0.197719989076527                    0
                 0.5                    0      0.1405552806565                    0
                 0.5                    0   0.0866797243180163                    0
                 0.5                    0   0.0363780928788754                    0
                 0.5                    0  -0.0100343196786883                    0
                 0.5                    0  -0.0521963979994955                    0
                 0.5                    0  -0.0896868500306172                    0
                 0.5                    0   -0.122013325146227                    0
                 0.5                    0   -0.148608042881422                    0
                 0.5                    0   -0.168833166285881                    0
                 0.5                    0    -0.18199888011238                    0
                 0.5                    0   -0.187396275938894                    0
                 0.5                    0   -0.184345678395417                    0
                 0.5                    0   -0.172259064288101                    0
                 0.5                    0   -0.150712955529304                    0
                 0.5                    0   -0.119525941989604                    0
                 0.5                    0  -0.0788332006151864                    0
                 0.5                    0  -0.0291493883217234                    0
                 0.5                    0   0.0285886409409479                    0
                 0.5                    0   0.0930066189671914                    0
                 0.5                    0    0.162310198211453                    0
                 0.5                    0    0.234336858895157                    0
                 0.5                    0    0.306641019677153                    0
                 0.5                    0    0.376607675587884                    0
                 0.5                    0    0.441587046355101                    0
                 0.5                    0    0.499040619065982                    0
                 0.5                    0    0.546687752148555                    0
                 0.5                    0     0.58264169764737                    0
                 0.5                    0    0.605524447137689                    0
                 0.5                    0    0.614551137957034                    0
                 0.5                    0    0.609576797429598                    0
                 0.5                    0    0.591100881310222                    0
                 0.5                    0    0.560228278579929                    0
                 0.5                    0    0.518589036942606                    0
                 0.5                    0    0.468222736599348                    0
                 0.5                    0    0.411436822359867                    0
                 0.5                    0    0.350650848883416                    0
                 0.5                    0    0.288240069826865                    0
                 0.5                    0    0.226391796044677                    0
                 0.5                    0    0.166986359252409                    0
                 0.5                    0    0.111511509326586                    0
                 0.5                    0   0.0610150672657833                    0
                 0.5                    0   0.0160962596491321                    0
                 0.5                    0  -0.0230679524345411                    0
                 0.5                    0  -0.0566684667547529                    0
                 0.5                    0  -0.0851904136806806                    0
                 0.5                    0   -0.109329682309741                    0
                 0.5                    0   -0.129908191699712                    0
                 0.5                    0   -0.147794778683253                    0
                 0.5                    0   -0.163836379690045                    0
                 0.5                    0   -0.178801990084748                    0
                 0.5                    0   -0.193340068049939                    0
                 0.5                    0   -0.207948829253491                    0
                 0.5                    0   -0.222958294670906                    0
                 0.5                    0   -0.238522895444762                    0
                 0.5                    0   -0.254623695113507                    0
                 0.5                    0   -0.271079618065616                    0
                 0.5                    0   -0.287567260977262                    0
                 0.5                    0   -0.303648775002187                    0
                 0.5                    0   -0.318806903927154                    0
                 0.5                    0   -0.332485609309855                    0
                 0.5                    0   -0.344133946630974                    0
                 0.5                    0   -0.353250156704201                    0
                 0.5                    0    -0.35942248328641                    0
                 0.5                    0   -0.362363160022803                    0
                 0.5                    0   -0.361932396243708                    0
                 0.5                    0   -0.358150014922461                    0
                 0.5                    0   -0.351193557302065                    0
                 0.5                    0   -0.341383003028501                    0
                 0.5                    0   -0.329153565363151                    0
                 0.5                    0    -0.31501911731431                    0
                 0.5                    0   -0.299529538430835                    0
                 0.5                    0   -0.283225567023796                    0
                 0.5                    0    -0.26659460739119                    0
                 0.5                    0   -0.250030466160332                    0
                 0.5                    0   -0.233799326041864                    0
                 0.5                    0   -0.218013583997361                    0
                 0.5                    0   -0.202614641898451                    0
                 0.5                    0   -0.187365441469565                    0
                 0.5                    0   -0.171853494504911                    0
                 0.5                    0   -0.155505288402586                    0
                 0.5                    0   -0.137613074928171                    0
                 0.5                    0   -0.117374958282265                    0
                 0.5                    0  -0.0939486785610541                    0
                 0.5                    0  -0.0665184060800561                    0
                 0.5                    0  -0.0343722223079426                    0
                 0.5                    0  0.00301406739493497                    0
                 0.5                    0   0.0458932371018976                    0
                 0.5                    0   0.0941712265089897                    0
                 0.5                    0    0.147349066792052                    0
                 0.5                    0    0.204490900647814                    0
                 0.5                    0    0.264225185779904                    0
                 0.5                    0    0.324783228896928                    0
                 0.5                    0    0.384075326509299                    0
                 0.5                    0    0.439800541525337                    0
                 0.5                    0     0.48958216640776                    0
                 0.5                    0    0.531117819610124                    0
                 0.5                    0    0.562331334733151                    0
                 0.5                    0    0.581513332439032                    0
                 0.5                    0    0.587438555924998                    0
