#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0      4.6026134766818                2.069                    0
    5.81150470603229      4.6026134766818     4.51718208074508                    0
    113.031684430868                    0     2.15593878469559                    0
                   1                    0     2.15593878469559                    0
                 0.5                    0     2.15829701602614                    0
                 0.5                    0      2.1607121420988                    0
                 0.5                    0     2.16402071150215                    0
                 0.5                    0     2.16829827291795                    0
                 0.5                    0     2.17363892215624                    0
                 0.5                    0       2.180154984474                    0
                 0.5                    0     2.18797654714704                    0
                 0.5                    0     2.19725080128001                    0
                 0.5                    0     2.20814114989335                    0
                 0.5                    0     2.22082603949412                    0
                 0.5                    0     2.23549747479693                    0
                 0.5                    0     2.25235918112845                    0
                 0.5                    0     2.27162438635987                    0
                 0.5                    0     2.29351320391278                    0
                 0.5                    0     2.31824961032094                    0
                 0.5                    0     2.34605802473813                    0
                 0.5                    0     2.37715951328598                    0
                 0.5                    0     2.41176765774715                    0
                 0.5                    0     2.45008414524366                    0
                 0.5                    0     2.49229415252159                    0
                 0.5                    0     2.53856161455663                    0
                 0.5                    0     2.58902448162726                    0
                 0.5                    0     2.64379008099899                    0
                 0.5                    0     2.70293070818695                    0
                 0.5                    0     2.76647957774776                    0
                 0.5                    0     2.83442726413875                    0
                 0.5                    0     2.90671875895002                    0
                 0.5                    0      2.9832512614925                    0
                 0.5                    0     3.06387280518721                    0
                 0.5                    0     3.14838180243437                    0
                 0.5                    0     3.23652756567546                    0
                 0.5                    0      3.3280118321535                    0
                 0.5                    0     3.42249128415695                    0
                 0.5                    0     3.51958101462404                    0
                 0.5                    0     3.61885883864609                    0
                 0.5                    0     3.71987029279144                    0
                 0.5                    0     3.82213409402731                    0
                 0.5                    0     3.92514774635395                    0
                 0.5                    0     4.02839288566356                    0
                 0.5                    0     4.13133984506294                    0
                 0.5                    0     4.23345081380647                    0
                 0.5                    0      4.3341808727906                    0
                 0.5                    0     4.43297615061651                    0
                 0.5                    0     4.52926840230549                    0
                 0.5                    0     4.62246552389227                    0
                 0.5                    0     4.71193793762419                    0
                 0.5                    0     4.79700145687853                    0
                 0.5                    0     4.87689817257233                    0
                 0.5                    0     4.95077803690294                    0
                 0.5                    0     5.01768501545721                    0
                 0.5                    0      5.0765527037348                    0
                 0.5                    0     5.12621485224221                    0
                 0.5                    0     5.16543597936599                    0
                 0.5                    0     5.19296588344851                    0
                 0.5                    0      5.2076192465694                    0
                 0.5                    0     5.20837773832097                    0
                 0.5                    0     5.19450745937205                    0
                 0.5                    0     5.16567988835146                    0
                 0.5                    0     5.12208060450283                    0
                 0.5                    0     5.06448790492155                    0
                 0.5                    0     4.99430382151639                    0
                 0.5                    0     4.91352340906983                    0
                 0.5                    0      4.8246344407397                    0
                 0.5                    0     4.73044815563313                    0
                 0.5                    0     4.63387130298187                    0
                 0.5                    0     4.53763896949978                    0
                 0.5                    0     4.44403508621914                    0
                 0.5                    0     4.35463186678649                    0
                 0.5                    0     4.27007997522603                    0
                 0.5                    0     4.18997776938153                    0
                 0.5                    0     4.11284087536365                    0
                 0.5                    0      4.0361834097164                    0
                 0.5                    0     3.95671044828466                    0
                 0.5                    0     3.87060904736265                    0
                 0.5                    0     3.77391349506425                    0
                 0.5                    0     3.66291073545884                    0
                 0.5                    0     3.53454523480057                    0
                 0.5                    0     3.38677998633971                    0
                 0.5                    0     3.21887264450158                    0
                 0.5                    0     3.03153323764576                    0
                 0.5                    0     2.82694215192894                    0
                 0.5                    0     2.60862291942733                    0
                 0.5                    0     2.38118181252975                    0
                 0.5                    0     2.14994282795503                    0
                 0.5                    0     1.92051970366461                    0
                 0.5                    0     1.69837393465916                    0
                 0.5                    0     1.48840804881153                    0
                 0.5                    0     1.29463663847766                    0
                 0.5                    0     1.11996509201183                    0
                 0.5                    0    0.966089953044592                    0
                 0.5                    0    0.833518214959908                    0
                 0.5                    0    0.721688411095246                    0
                 0.5                    0    0.629166211347308                    0
                 0.5                    0    0.553882474291138                    0
                 0.5                    0    0.493382283476185                    0
                 0.5                    0    0.445058396048399                    0
                 0.5                    0    0.406350116089942                    0
                 0.5                    0    0.374897064635437                    0
                 0.5                    0    0.348645069817568                    0
                 0.5                    0    0.325907359364257                    0
                 0.5                    0    0.305387924170293                    0
                 0.5                    0    0.286175412512554                    0
                 0.5                    0    0.267715685097759                    0
                 0.5                    0    0.249769881973094                    0
                 0.5                    0    0.232363195928409                    0
                 0.5                    0      0.2157280455015                    0
                 0.5                    0    0.200244311001611                    0
                 0.5                    0    0.186378831317699                    0
                 0.5                    0    0.174626365425507                    0
                 0.5                    0     0.16545449261546                    0
                 0.5                    0    0.159255213033641                    0
                 0.5                    0    0.156306098424792                    0
                 0.5                    0     0.15674359396861                    0
                 0.5                    0    0.160550450536141                    0
                 0.5                    0    0.167558338509227                    0
                 0.5                    0    0.177465602850733                    0
                 0.5                    0    0.189869045312021                    0
                 0.5                    0    0.204307734600898                    0
                 0.5                    0    0.220316264770879                    0
                 0.5                    0    0.237484632474016                    0
                 0.5                    0    0.255521907963908                    0
                 0.5                    0    0.274320963595662                    0
                 0.5                    0    0.294021474411486                    0
                 0.5                    0    0.315068005031635                    0
                 0.5                    0     0.33825911898982                    0
                 0.5                    0    0.364782126602549                    0
                 0.5                    0    0.396226575984254                    0
                 0.5                    0    0.434568360897022                    0
                 0.5                    0    0.482116004431334                    0
                 0.5                    0    0.541411949947416                    0
                 0.5                    0    0.615085070258103                    0
                 0.5                    0    0.705656254108723                    0
                 0.5                    0    0.815306475001857                    0
                 0.5                    0     0.94562521320374                    0
                 0.5                    0     1.09736497643618                    0
                 0.5                    0     1.27023314897892                    0
                 0.5                    0     1.46275378959114                    0
                 0.5                    0     1.67222813296442                    0
                 0.5                    0     1.89481319131263                    0
                 0.5                    0     2.12572390120855                    0
                 0.5                    0     2.35954769437775                    0
                 0.5                    0     2.59064391171793                    0
                 0.5                    0     2.81358704180392                    0
                 0.5                    0     3.02360482518844                    0
                 0.5                    0     3.21696131799613                    0
                 0.5                    0      3.3912412500837                    0
                 0.5                    0     3.54550433998696                    0
                 0.5                    0      3.6802945261162                    0
                 0.5                    0     3.79750670834318                    0
                 0.5                    0     3.90012996479735                    0
                 0.5                    0     3.99189920778525                    0
