#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   4.51718208   0.00000000
  5.81150471   4.51718208   0.00000000
  5.81150471   2.15593878   0.00000000
118.84318914   2.15593878   0.00000000
118.84318914   2.15593878   0.00000000
119.84318914   2.15593878   0.00000000
119.84318914   2.15829702   0.00000000
120.34318914   2.15829702   0.00000000
120.34318914   2.16071214   0.00000000
120.84318914   2.16071214   0.00000000
120.84318914   2.16402071   0.00000000
121.34318914   2.16402071   0.00000000
121.34318914   2.16829827   0.00000000
121.84318914   2.16829827   0.00000000
121.84318914   2.17363892   0.00000000
122.34318914   2.17363892   0.00000000
122.34318914   2.18015498   0.00000000
122.84318914   2.18015498   0.00000000
122.84318914   2.18797655   0.00000000
123.34318914   2.18797655   0.00000000
123.34318914   2.19725080   0.00000000
123.84318914   2.19725080   0.00000000
123.84318914   2.20814115   0.00000000
124.34318914   2.20814115   0.00000000
124.34318914   2.22082604   0.00000000
124.84318914   2.22082604   0.00000000
124.84318914   2.23549747   0.00000000
125.34318914   2.23549747   0.00000000
125.34318914   2.25235918   0.00000000
125.84318914   2.25235918   0.00000000
125.84318914   2.27162439   0.00000000
126.34318914   2.27162439   0.00000000
126.34318914   2.29351320   0.00000000
126.84318914   2.29351320   0.00000000
126.84318914   2.31824961   0.00000000
127.34318914   2.31824961   0.00000000
127.34318914   2.34605802   0.00000000
127.84318914   2.34605802   0.00000000
127.84318914   2.37715951   0.00000000
128.34318914   2.37715951   0.00000000
128.34318914   2.41176766   0.00000000
128.84318914   2.41176766   0.00000000
128.84318914   2.45008415   0.00000000
129.34318914   2.45008415   0.00000000
129.34318914   2.49229415   0.00000000
129.84318914   2.49229415   0.00000000
129.84318914   2.53856161   0.00000000
130.34318914   2.53856161   0.00000000
130.34318914   2.58902448   0.00000000
130.84318914   2.58902448   0.00000000
130.84318914   2.64379008   0.00000000
131.34318914   2.64379008   0.00000000
131.34318914   2.70293071   0.00000000
131.84318914   2.70293071   0.00000000
131.84318914   2.76647958   0.00000000
132.34318914   2.76647958   0.00000000
132.34318914   2.83442726   0.00000000
132.84318914   2.83442726   0.00000000
132.84318914   2.90671876   0.00000000
133.34318914   2.90671876   0.00000000
133.34318914   2.98325126   0.00000000
133.84318914   2.98325126   0.00000000
133.84318914   3.06387281   0.00000000
134.34318914   3.06387281   0.00000000
134.34318914   3.14838180   0.00000000
134.84318914   3.14838180   0.00000000
134.84318914   3.23652757   0.00000000
135.34318914   3.23652757   0.00000000
135.34318914   3.32801183   0.00000000
135.84318914   3.32801183   0.00000000
135.84318914   3.42249128   0.00000000
136.34318914   3.42249128   0.00000000
136.34318914   3.51958101   0.00000000
136.84318914   3.51958101   0.00000000
136.84318914   3.61885884   0.00000000
137.34318914   3.61885884   0.00000000
137.34318914   3.71987029   0.00000000
137.84318914   3.71987029   0.00000000
137.84318914   3.82213409   0.00000000
138.34318914   3.82213409   0.00000000
138.34318914   3.92514775   0.00000000
138.84318914   3.92514775   0.00000000
138.84318914   4.02839289   0.00000000
139.34318914   4.02839289   0.00000000
139.34318914   4.13133985   0.00000000
139.84318914   4.13133985   0.00000000
139.84318914   4.23345081   0.00000000
140.34318914   4.23345081   0.00000000
140.34318914   4.33418087   0.00000000
140.84318914   4.33418087   0.00000000
140.84318914   4.43297615   0.00000000
141.34318914   4.43297615   0.00000000
141.34318914   4.52926840   0.00000000
141.84318914   4.52926840   0.00000000
141.84318914   4.62246552   0.00000000
142.34318914   4.62246552   0.00000000
142.34318914   4.71193794   0.00000000
142.84318914   4.71193794   0.00000000
142.84318914   4.79700146   0.00000000
143.34318914   4.79700146   0.00000000
143.34318914   4.87689817   0.00000000
143.84318914   4.87689817   0.00000000
143.84318914   4.95077804   0.00000000
144.34318914   4.95077804   0.00000000
144.34318914   5.01768502   0.00000000
144.84318914   5.01768502   0.00000000
144.84318914   5.07655270   0.00000000
145.34318914   5.07655270   0.00000000
145.34318914   5.12621485   0.00000000
145.84318914   5.12621485   0.00000000
145.84318914   5.16543598   0.00000000
146.34318914   5.16543598   0.00000000
146.34318914   5.19296588   0.00000000
146.84318914   5.19296588   0.00000000
146.84318914   5.20761925   0.00000000
147.34318914   5.20761925   0.00000000
147.34318914   5.20837774   0.00000000
147.84318914   5.20837774   0.00000000
147.84318914   5.19450746   0.00000000
148.34318914   5.19450746   0.00000000
148.34318914   5.16567989   0.00000000
148.84318914   5.16567989   0.00000000
148.84318914   5.12208060   0.00000000
149.34318914   5.12208060   0.00000000
149.34318914   5.06448790   0.00000000
149.84318914   5.06448790   0.00000000
149.84318914   4.99430382   0.00000000
150.34318914   4.99430382   0.00000000
150.34318914   4.91352341   0.00000000
