#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.76192876   0.00000000
 12.76472801   3.76192876   0.00000000
 12.76472801  -1.01031298   0.00000000
124.16285824  -1.01031298   0.00000000
124.16285824  -1.01031298   0.00000000
124.66285824  -1.01031298   0.00000000
124.66285824  -1.00877332   0.00000000
125.16285824  -1.00877332   0.00000000
125.16285824  -1.00565635   0.00000000
125.66285824  -1.00565635   0.00000000
125.66285824  -1.00088678   0.00000000
126.16285824  -1.00088678   0.00000000
126.16285824  -0.99435186   0.00000000
126.66285824  -0.99435186   0.00000000
126.66285824  -0.98590160   0.00000000
127.16285824  -0.98590160   0.00000000
127.16285824  -0.97534914   0.00000000
127.66285824  -0.97534914   0.00000000
127.66285824  -0.96247141   0.00000000
128.16285824  -0.96247141   0.00000000
128.16285824  -0.94700999   0.00000000
128.66285824  -0.94700999   0.00000000
128.66285824  -0.92867246   0.00000000
129.16285824  -0.92867246   0.00000000
129.16285824  -0.90713407   0.00000000
129.66285824  -0.90713407   0.00000000
129.66285824  -0.88204014   0.00000000
130.16285824  -0.88204014   0.00000000
130.16285824  -0.85300890   0.00000000
130.66285824  -0.85300890   0.00000000
130.66285824  -0.81963521   0.00000000
131.16285824  -0.81963521   0.00000000
131.16285824  -0.78149487   0.00000000
131.66285824  -0.78149487   0.00000000
131.66285824  -0.73814990   0.00000000
132.16285824  -0.73814990   0.00000000
132.16285824  -0.68915445   0.00000000
132.66285824  -0.68915445   0.00000000
132.66285824  -0.63406168   0.00000000
133.16285824  -0.63406168   0.00000000
133.16285824  -0.57243128   0.00000000
133.66285824  -0.57243128   0.00000000
133.66285824  -0.50383769   0.00000000
134.16285824  -0.50383769   0.00000000
134.16285824  -0.42787890   0.00000000
134.66285824  -0.42787890   0.00000000
134.66285824  -0.34418567   0.00000000
135.16285824  -0.34418567   0.00000000
135.16285824  -0.25243101   0.00000000
135.66285824  -0.25243101   0.00000000
135.66285824  -0.15233962   0.00000000
136.16285824  -0.15233962   0.00000000
136.16285824  -0.04369725   0.00000000
136.66285824  -0.04369725   0.00000000
136.66285824   0.07364041   0.00000000
137.16285824   0.07364041   0.00000000
137.16285824   0.19973957   0.00000000
137.66285824   0.19973957   0.00000000
137.66285824   0.33458102   0.00000000
138.16285824   0.33458102   0.00000000
138.16285824   0.47805405   0.00000000
138.66285824   0.47805405   0.00000000
138.66285824   0.62995174   0.00000000
139.16285824   0.62995174   0.00000000
139.16285824   0.78996779   0.00000000
139.66285824   0.78996779   0.00000000
139.66285824   0.95769508   0.00000000
140.16285824   0.95769508   0.00000000
140.16285824   1.13262610   0.00000000
140.66285824   1.13262610   0.00000000
140.66285824   1.31415520   0.00000000
141.16285824   1.31415520   0.00000000
141.16285824   1.50158263   0.00000000
141.66285824   1.50158263   0.00000000
141.66285824   1.69412045   0.00000000
142.16285824   1.69412045   0.00000000
142.16285824   1.89090004   0.00000000
142.66285824   1.89090004   0.00000000
142.66285824   2.09098104   0.00000000
143.16285824   2.09098104   0.00000000
143.16285824   2.29336155   0.00000000
143.66285824   2.29336155   0.00000000
143.66285824   2.49698930   0.00000000
144.16285824   2.49698930   0.00000000
144.16285824   2.70077356   0.00000000
144.66285824   2.70077356   0.00000000
144.66285824   2.90359741   0.00000000
145.16285824   2.90359741   0.00000000
145.16285824   3.10433028   0.00000000
145.66285824   3.10433028   0.00000000
145.66285824   3.30184033   0.00000000
146.16285824   3.30184033   0.00000000
146.16285824   3.49500670   0.00000000
146.66285824   3.49500670   0.00000000
146.66285824   3.68273132   0.00000000
147.16285824   3.68273132   0.00000000
147.16285824   3.86395025   0.00000000
147.66285824   3.86395025   0.00000000
147.66285824   4.03764458   0.00000000
148.16285824   4.03764458   0.00000000
148.16285824   4.20285076   0.00000000
148.66285824   4.20285076   0.00000000
148.66285824   4.35867055   0.00000000
149.16285824   4.35867055   0.00000000
149.16285824   4.50428041   0.00000000
149.66285824   4.50428041   0.00000000
149.66285824   4.63894058   0.00000000
150.16285824   4.63894058   0.00000000
150.16285824   4.76200355   0.00000000
150.66285824   4.76200355   0.00000000
150.66285824   4.87292196   0.00000000
151.16285824   4.87292196   0.00000000
151.16285824   4.97125564   0.00000000
151.66285824   4.97125564   0.00000000
151.66285824   5.05667750   0.00000000
152.16285824   5.05667750   0.00000000
152.16285824   5.12897786   0.00000000
152.66285824   5.12897786   0.00000000
152.66285824   5.18806666   0.00000000
153.16285824   5.18806666   0.00000000
153.16285824   5.23397314   0.00000000
153.66285824   5.23397314   0.00000000
153.66285824   5.26684244   0.00000000
154.16285824   5.26684244   0.00000000
154.16285824   5.28692863   0.00000000
154.66285824   5.28692863   0.00000000
