#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     2.75696605088409                2.069                    0
    8.48189604575617     2.75696605088409     3.80984090020585                    0
    115.914170711527                    0     2.37405855012178                    0
                   1                    0     2.37405855012178                    0
                 0.5                    0      2.3758323454185                    0
                 0.5                    0     2.37766158863487                    0
                 0.5                    0     2.38018703969581                    0
                 0.5                    0     2.38348317014703                    0
                 0.5                    0     2.38764344082358                    0
                 0.5                    0     2.39278042416208                    0
                 0.5                    0     2.39902583038343                    0
                 0.5                    0     2.40653037784103                    0
                 0.5                    0     2.41546344305155                    0
                 0.5                    0     2.42601242360696                    0
                 0.5                    0     2.43838174765799                    0
                 0.5                    0     2.45279146726051                    0
                 0.5                    0     2.46947537981838                    0
                 0.5                    0     2.48867863226536                    0
                 0.5                    0     2.51065477650439                    0
                 0.5                    0     2.53566226180581                    0
                 0.5                    0     2.56396037002667                    0
                 0.5                    0     2.59580462212949                    0
                 0.5                    0     2.63144170884226                    0
                 0.5                    0      2.6711040235241                    0
                 0.5                    0       2.715003900339                    0
                 0.5                    0      2.7633276845326                    0
                 0.5                    0     2.81622978272357                    0
                 0.5                    0     2.87382685842607                    0
                 0.5                    0      2.9361923503345                    0
                 0.5                    0     3.00335149718554                    0
                 0.5                    0     3.07527705242231                    0
                 0.5                    0      3.1518858638513                    0
                 0.5                    0     3.23303647774769                    0
                 0.5                    0     3.31852790352192                    0
                 0.5                    0       3.408099644555                    0
                 0.5                    0     3.50143306390669                    0
                 0.5                    0     3.59815411131514                    0
                 0.5                    0     3.69783739138986                    0
                 0.5                    0      3.8000115032735                    0
                 0.5                    0     3.90416553020893                    0
                 0.5                    0     4.00975650385087                    0
                 0.5                    0     4.11621761264334                    0
                 0.5                    0     4.22296686530112                    0
                 0.5                    0     4.32941585804067                    0
                 0.5                    0     4.43497822642634                    0
                 0.5                    0     4.53907728944811                    0
                 0.5                    0     4.64115231759597                    0
                 0.5                    0     4.74066278642247                    0
                 0.5                    0     4.83708992846917                    0
                 0.5                    0     4.92993489557631                    0
                 0.5                    0     5.01871292710972                    0
                 0.5                    0     5.10294313204103                    0
                 0.5                    0       5.182133879395                    0
                 0.5                    0     5.25576438590519                    0
                 0.5                    0     5.32326389632977                    0
                 0.5                    0     5.38399082671186                    0
                 0.5                    0      5.4372152744396                    0
                 0.5                    0     5.48210920922208                    0
                 0.5                    0     5.51774920141008                    0
                 0.5                    0     5.54313644385616                    0
                 0.5                    0     5.55723783212056                    0
                 0.5                    0     5.55904983532805                    0
                 0.5                    0     5.54768383967228                    0
                 0.5                    0     5.52246783062661                    0
                 0.5                    0     5.48305519366162                    0
                 0.5                    0     5.42952775133547                    0
                 0.5                    0     5.36247770529457                    0
                 0.5                    0     5.28305264295887                    0
                 0.5                    0      5.1929496968004                    0
                 0.5                    0     5.09434942706284                    0
                 0.5                    0     4.98978669526652                    0
                 0.5                    0     4.88196391913315                    0
                 0.5                    0     4.77352053011817                    0
                 0.5                    0     4.66677992999548                    0
                 0.5                    0     4.56350058030721                    0
                 0.5                    0     4.46466015932499                    0
                 0.5                    0     4.37030051096004                    0
                 0.5                    0     4.27945639115234                    0
                 0.5                    0     4.19018323727032                    0
                 0.5                    0     4.09968914754606                    0
                 0.5                    0     4.00456500470035                    0
                 0.5                    0     3.90109538957498                    0
                 0.5                    0     3.78562283217066                    0
                 0.5                    0     3.65493023230873                    0
                 0.5                    0     3.50660202070197                    0
                 0.5                    0     3.33932464876685                    0
                 0.5                    0     3.15309171692956                    0
                 0.5                    0     2.94928834046213                    0
                 0.5                    0     2.73064239788494                    0
                 0.5                    0     2.50104561565935                    0
                 0.5                    0     2.26526298021666                    0
                 0.5                    0     2.02856245885385                    0
                 0.5                    0     1.79630634663172                    0
                 0.5                    0     1.57354922579552                    0
                 0.5                    0       1.364684951892                    0
                 0.5                    0     1.17317677885516                    0
                 0.5                    0      1.0013922169328                    0
                 0.5                    0    0.850549684215019                    0
                 0.5                    0    0.720769893814649                    0
                 0.5                    0    0.611213376711432                    0
