#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.66446624   0.00000000
  7.08730351   3.66446624   0.00000000
  7.08730351   2.29711147   0.00000000
124.73376117   2.29711147   0.00000000
124.73376117   2.29711147   0.00000000
127.73376117   2.29711147   0.00000000
127.73376117   2.29604792   0.00000000
128.23376117   2.29604792   0.00000000
128.23376117   2.29552831   0.00000000
128.73376117   2.29552831   0.00000000
128.73376117   2.29481857   0.00000000
129.23376117   2.29481857   0.00000000
129.23376117   2.29385964   0.00000000
129.73376117   2.29385964   0.00000000
129.73376117   2.29257710   0.00000000
130.23376117   2.29257710   0.00000000
130.23376117   2.29087854   0.00000000
130.73376117   2.29087854   0.00000000
130.73376117   2.28865059   0.00000000
131.23376117   2.28865059   0.00000000
131.23376117   2.28575614   0.00000000
131.73376117   2.28575614   0.00000000
131.73376117   2.28203152   0.00000000
132.23376117   2.28203152   0.00000000
132.23376117   2.27728409   0.00000000
132.73376117   2.27728409   0.00000000
132.73376117   2.27129032   0.00000000
133.23376117   2.27129032   0.00000000
133.23376117   2.26379468   0.00000000
133.73376117   2.26379468   0.00000000
133.73376117   2.25450963   0.00000000
134.23376117   2.25450963   0.00000000
134.23376117   2.24311693   0.00000000
134.73376117   2.24311693   0.00000000
134.73376117   2.22927053   0.00000000
135.23376117   2.22927053   0.00000000
135.23376117   2.21260136   0.00000000
135.73376117   2.21260136   0.00000000
135.73376117   2.19272399   0.00000000
136.23376117   2.19272399   0.00000000
136.23376117   2.16924546   0.00000000
136.73376117   2.16924546   0.00000000
136.73376117   2.14177603   0.00000000
137.23376117   2.14177603   0.00000000
137.23376117   2.10994175   0.00000000
137.73376117   2.10994175   0.00000000
137.73376117   2.07339855   0.00000000
138.23376117   2.07339855   0.00000000
138.23376117   2.03184734   0.00000000
138.73376117   2.03184734   0.00000000
138.73376117   1.98504954   0.00000000
139.23376117   1.98504954   0.00000000
139.23376117   1.93284231   0.00000000
139.73376117   1.93284231   0.00000000
139.73376117   1.87515269   0.00000000
140.23376117   1.87515269   0.00000000
140.23376117   1.81200979   0.00000000
140.73376117   1.81200979   0.00000000
140.73376117   1.74355434   0.00000000
141.23376117   1.74355434   0.00000000
141.23376117   1.67004474   0.00000000
141.73376117   1.67004474   0.00000000
141.73376117   1.59185906   0.00000000
142.23376117   1.59185906   0.00000000
142.23376117   1.50949270   0.00000000
142.73376117   1.50949270   0.00000000
142.73376117   1.42355145   0.00000000
143.23376117   1.42355145   0.00000000
143.23376117   1.33474009   0.00000000
143.73376117   1.33474009   0.00000000
143.73376117   1.24384688   0.00000000
144.23376117   1.24384688   0.00000000
144.23376117   1.15172466   0.00000000
144.73376117   1.15172466   0.00000000
144.73376117   1.05926935   0.00000000
145.23376117   1.05926935   0.00000000
145.23376117   0.96739680   0.00000000
145.73376117   0.96739680   0.00000000
145.73376117   0.87701931   0.00000000
146.23376117   0.87701931   0.00000000
146.23376117   0.78902278   0.00000000
146.73376117   0.78902278   0.00000000
146.73376117   0.70424566   0.00000000
147.23376117   0.70424566   0.00000000
147.23376117   0.62346065   0.00000000
147.73376117   0.62346065   0.00000000
147.73376117   0.54735989   0.00000000
148.23376117   0.54735989   0.00000000
148.23376117   0.47654413   0.00000000
148.73376117   0.47654413   0.00000000
148.73376117   0.41151613   0.00000000
149.23376117   0.41151613   0.00000000
149.23376117   0.35267808   0.00000000
149.73376117   0.35267808   0.00000000
149.73376117   0.30033295   0.00000000
150.23376117   0.30033295   0.00000000
150.23376117   0.25468886   0.00000000
150.73376117   0.25468886   0.00000000
150.73376117   0.21586592   0.00000000
151.23376117   0.21586592   0.00000000
151.23376117   0.18390463   0.00000000
151.73376117   0.18390463   0.00000000
151.73376117   0.15877477   0.00000000
152.23376117   0.15877477   0.00000000
152.23376117   0.14038410   0.00000000
152.73376117   0.14038410   0.00000000
152.73376117   0.12858591   0.00000000
153.23376117   0.12858591   0.00000000
153.23376117   0.12318497   0.00000000
153.73376117   0.12318497   0.00000000
153.73376117   0.12394134   0.00000000
154.23376117   0.12394134   0.00000000
154.23376117   0.13057209   0.00000000
154.73376117   0.13057209   0.00000000
154.73376117   0.14275080   0.00000000
155.23376117   0.14275080   0.00000000
155.23376117   0.16010541   0.00000000
155.73376117   0.16010541   0.00000000
155.73376117   0.18221486   0.00000000
156.23376117   0.18221486   0.00000000
156.23376117   0.20860521   0.00000000
156.73376117   0.20860521   0.00000000
156.73376117   0.23874620   0.00000000
157.23376117   0.23874620   0.00000000
157.23376117   0.27204887   0.00000000
157.73376117   0.27204887   0.00000000
157.73376117   0.30786536   0.00000000
158.23376117   0.30786536   0.00000000
158.23376117   0.34549125   0.00000000
