#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     5.51292079823287                2.069                    0
    7.08730351226593     5.51292079823287     3.66446624175458                    0
    117.646457656455                    0     2.29711146837509                    0
                 2.5                    0     2.29711146827079                    0
                 0.5                    0     2.29811615811383                    0
                 0.5                    0     2.29866487566668                    0
                 0.5                    0     2.29942380302094                    0
                 0.5                    0     2.30046043246524                    0
                 0.5                    0     2.30186102820253                    0
                 0.5                    0     2.30373425024792                    0
                 0.5                    0     2.30621511060657                    0
                 0.5                    0      2.3094691406323                    0
                 0.5                    0     2.31369659904781                    0
                 0.5                    0     2.31913649606063                    0
                 0.5                    0     2.32607015382662                    0
                 0.5                    0     2.33482397182989                    0
                 0.5                    0     2.34577102320636                    0
                 0.5                    0     2.35933108098427                    0
                 0.5                    0     2.37596866823558                    0
                 0.5                    0     2.39618874942592                    0
                 0.5                    0     2.42052973688192                    0
                 0.5                    0      2.4495535793875                    0
                 0.5                    0     2.48383282987961                    0
                 0.5                    0     2.52393475307883                    0
                 0.5                    0     2.57040272493393                    0
                 0.5                    0     2.62373538342926                    0
                 0.5                    0     2.68436420058794                    0
                 0.5                    0     2.75263034175755                    0
                 0.5                    0     2.82876184247242                    0
                 0.5                    0     2.91285224759231                    0
                 0.5                    0     3.00484190636868                    0
                 0.5                    0     3.10450308891392                    0
                 0.5                    0     3.21142997823036                    0
                 0.5                    0      3.3250343983892                    0
                 0.5                    0     3.44454787206831                    0
                 0.5                    0      3.5690302752843                    0
                 0.5                    0     3.69738499602561                    0
                 0.5                    0     3.82838013348339                    0
                 0.5                    0      3.9606749247841                    0
                 0.5                    0     4.09285028504412                    0
                 0.5                    0     4.22344211916138                    0
                 0.5                    0     4.35097592879783                    0
                 0.5                    0      4.4740012059586                    0
                 0.5                    0      4.5911241763587                    0
                 0.5                    0     4.70103762254659                    0
                 0.5                    0     4.80254676079777                    0
                 0.5                    0     4.89459044237209                    0
                 0.5                    0     4.97625726981148                    0
                 0.5                    0     5.04679653239337                    0
                 0.5                    0     5.10562414371018                    0
                 0.5                    0     5.15232398593652                    0
                 0.5                    0     5.18664521466467                    0
                 0.5                    0     5.20849614940092                    0
                 0.5                    0     5.21793537164844                    0
                 0.5                    0     5.21516058750524                    0
                 0.5                    0     5.20049570444677                    0
                 0.5                    0     5.17437644639519                    0
                 0.5                    0      5.1373347124938                    0
                 0.5                    0     5.08998179634341                    0
                 0.5                    0     5.03299054186695                    0
                 0.5                    0     4.96707652998868                    0
                 0.5                    0     4.89297846846875                    0
                 0.5                    0     4.81143808761752                    0
                 0.5                    0     4.72318001064879                    0
                 0.5                    0     4.62889224570712                    0
                 0.5                    0     4.52920810961634                    0
                 0.5                    0     4.42469051287282                    0
                 0.5                    0     4.31581958584597                    0
                 0.5                    0     4.20298458816864                    0
                 0.5                    0     4.08648090638902                    0
                 0.5                    0     3.96651270930741                    0
                 0.5                    0     3.84320150758981                    0
                 0.5                    0     3.71660047654377                    0
                 0.5                    0     3.58671397955706                    0
                 0.5                    0      3.4535213117892                    0
                 0.5                    0     3.31700330867837                    0
                 0.5                    0      3.1771701692606                    0
                 0.5                    0     3.03408866193969                    0
                 0.5                    0     2.88790683261141                    0
                 0.5                    0     2.73887443244617                    0
                 0.5                    0     2.58735752241005                    0
                 0.5                    0     2.43384607772758                    0
                 0.5                    0     2.27895388005701                    0
                 0.5                    0     2.12341051100018                    0
                 0.5                    0     1.96804580486022                    0
                 0.5                    0     1.81376763688758                    0
                 0.5                    0     1.66153437388752                    0
                 0.5                    0     1.51232366182788                    0
                 0.5                    0     1.36709944450096                    0
                 0.5                    0     1.22677918463768                    0
                 0.5                    0      1.0922031930175                    0
                 0.5                    0    0.964107773085797                    0
                 0.5                    0    0.843103579945224                    0
                 0.5                    0    0.729660202893124                    0
                 0.5                    0    0.624097544349091                    0
                 0.5                    0    0.526584120930432                    0
                 0.5                    0    0.437141988655553                    0
                 0.5                    0    0.355657623226928                    0
                 0.5                    0    0.281897790753652                    0
                 0.5                    0    0.215529238762039                    0
                 0.5                    0    0.156140928094538                    0
                 0.5                    0    0.103267511431465                    0
                 0.5                    0   0.0564128348054629                    0
                 0.5                    0   0.0150723802737862                    0
                 0.5                    0  -0.0212462371390037                    0
                 0.5                    0  -0.0530053768466771                    0
                 0.5                    0  -0.0806225014304858                    0
                 0.5                    0   -0.104458507261499                    0
                 0.5                    0   -0.124809222588121                    0
                 0.5                    0   -0.141899858041577                    0
                 0.5                    0   -0.155882057621417                    0
                 0.5                    0   -0.166833110645746                    0
                 0.5                    0   -0.174756848771206                    0
                 0.5                    0    -0.17958576539908                    0
                 0.5                    0    -0.18118395278776                    0
                 0.5                    0   -0.179350547361095                    0
                 0.5                    0   -0.173823495998696                    0
                 0.5                    0   -0.164283593558024                    0
                 0.5                    0   -0.150358881212137                    0
                 0.5                    0   -0.131629622464723                    0
                 0.5                    0   -0.107634175214565                    0
                 0.5                    0  -0.0778761414617862                    0
                 0.5                    0  -0.0418331909055964                    0
                 0.5                    0  0.00103208616548573                    0
                 0.5                    0    0.051259040267217                    0
                 0.5                    0    0.109373436597664                    0
                 0.5                    0    0.175869641847261                    0
                 0.5                    0     0.25119086070812                    0
                 0.5                    0    0.335708010732727                    0
                 0.5                    0     0.42969806931497                    0
                 0.5                    0    0.533322940489474                    0
                 0.5                    0     0.64661004755723                    0
                 0.5                    0    0.769435938282025                    0
                 0.5                    0    0.901514175503831                    0
                 0.5                    0     1.04238866755472                    0
                 0.5                    0     1.19143336876512                    0
                 0.5                    0     1.34785895935401                    0
                 0.5                    0     1.51072671468362                    0
                 0.5                    0     1.67896932363212                    0
                 0.5                    0     1.85141794890606                    0
                 0.5                    0     2.02683437660958                    0
                 0.5                    0     2.20394671687237                    0
                 0.5                    0     2.38148682706278                    0
                 0.5                    0     2.55822746241206                    0
                 0.5                    0     2.73301713411992                    0
                 0.5                    0     2.90481077846194                    0
                 0.5                    0     3.07269460526568                    0
                 0.5                    0     3.23590388083103                    0
                 0.5                    0      3.3938328783578                    0
                 0.5                    0     3.54603675935404                    0
                 0.5                    0     3.69222568898177                    0
                 0.5                    0     3.83225199293137                    0
                 0.5                    0     3.96609159204346                    0
                 0.5                    0     4.09382127627358                    0
                 0.5                    0     4.21559356452109                    0
                 0.5                    0     4.33161095553929                    0
                 0.5                    0     4.44210128326769                    0
                 0.5                    0     4.54729568118891                    0
                 0.5                    0     4.64741034999665                    0
                 0.5                    0     4.74263294505162                    0
                 0.5                    0     4.83311398997628                    0
                 0.5                    0     4.91896331613806                    0
                 0.5                    0     5.00025115754917                    0
                 0.5                    0     5.07701322393486                    0
                 0.5                    0     5.14925885063646                    0
                 0.5                    0     5.21698119294901                    0
                 0.5                    0     5.28016839572528                    0
                 0.5                    0      5.3388147195931                    0
                 0.5                    0     5.39293072911755                    0
                 0.5                    0     5.44255182707152                    0
                 0.5                    0     5.48774463147511                    0
                 0.5                    0     5.52861091671992                    0
                 0.5                    0     5.56528905707874                    0
                 0.5                    0     5.59795310365444                    0
                 0.5                    0     5.62680978212263                    0
                 0.5                    0     5.65209381109476                    0
                 0.5                    0     5.67406200701585                    0
                 0.5                    0     5.69298666298513                    0
                 0.5                    0     5.70914867102548                    0
                 0.5                    0     5.72283080787078                    0
                 0.5                    0     5.73431153239994                    0
                 0.5                    0     5.74385955785085                    0
                 0.5                    0     5.75172937274661                    0
                 0.5                    0     5.75815779865015                    0
                 0.5                    0     5.76336159632232                    0
                 0.5                    0      5.7675360685922                    0
                 0.5                    0     5.77085456038392                    0
                 0.5                    0     5.77346872433149                    0
                 0.5                    0     5.77550940333412                    0
                 0.5                    0     5.77708797734288                    0
                 0.5                    0     5.77829802809969                    0
                 0.5                    0     5.77921718968339                    0
                 0.5                    0     5.77990907180917                    0
                 0.5                    0     5.78042516439244                    0
                52.5                    0     5.78177415517134                    0
                   0                    0     5.78177415517134                    0
